titre,realisateur,adresse,organisme_demandeur,type_de_tournage,ardt,date_debut,date_fin,x,y
THE ESCAPE,DOMINIC SAVAGE,BOULEVARD  DE BONNE NOUVELLE,HANNA FILMS,LONG METRAGE,10ème,2016-10-21,2016-10-21,48.870428, 2.350449
THE ESCAPE,DOMINIC SAVAGE,BOULEVARD  DE DENAIN,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.879391, 2.354527
THE ESCAPE,DOMINIC SAVAGE,BOULEVARD  DE STRASBOURG,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.872684, 2.355912
THE ESCAPE,DOMINIC SAVAGE,BOULEVARD  MAGENTA,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.876029, 2.356543
THE ESCAPE,DOMINIC SAVAGE,RUE  BOSSUET,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.878665, 2.352375
THE ESCAPE,DOMINIC SAVAGE,RUE  D'HAUTEVILLE,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.87406, 2.350499
THE ESCAPE,DOMINIC SAVAGE,RUE  DE BELZUNCE,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.879387, 2.351173
THE ESCAPE,DOMINIC SAVAGE,RUE  DE LA FAYETTE,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.88006, 2.3595
THE ESCAPE,DOMINIC SAVAGE,RUE  DE MAZAGRAN,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.870558, 2.351698
THE ESCAPE,DOMINIC SAVAGE,RUE  DE PARADIS,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.875095, 2.351852
THE ESCAPE,DOMINIC SAVAGE,RUE  DU CHATEAU D'EAU,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.871162, 2.358242
THE ESCAPE,DOMINIC SAVAGE,RUE  DU FAUBOURG SAINT DENIS,HANNA FILMS,LONG METRAGE,10ème,2016-10-19,2016-10-19,48.875943, 2.355602
THE PACKAGE,CHANG KEUN CHUN,PLACE  FRANTZ LISZT,BH PARIS MEDIA PRODUCTIONS,SERIE TELEVISEE,10ème,2016-10-13,2016-10-13,48.877605, 2.351667
TUDO BOM TUDO BEM,WILLY BIONDANI,24  RUE  RENE BOULANGER,MACT PRODUCTIONS,LONG METRAGE,10ème,2016-10-11,2016-10-11,48.86845, 2.362228
TUDO BOM TUDO BEM,WILLY BIONDANI,24  RUE  RENE BOULANGER,MACT PRODUCTIONS,LONG METRAGE,10ème,2016-10-12,2016-10-12,48.86845, 2.362228
TUDO BOM TUDO BEM,WILLY BIONDANI,PASSERELLE*  ENTRE QUAI DE VALMY ET DE JEMMAPES,MACT PRODUCTIONS,LONG METRAGE,10ème,2016-10-11,2016-10-11,48.87605, 2.364833
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,2/4  IMPASSE  LAMIER,LES FILMS DE PIERRE,LONG METRAGE,11ème,2016-08-17,2016-08-17,48.858004, 2.388745
ALIBI.COM,PHILIPPE LACHEAU,SQUARE  JEAN AICARD,FECHNER FILMS,LONG METRAGE,11ème,2016-05-25,2016-05-25,48.865696, 2.381095
